STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW
2|5506|4055RUPLUS|4000090683|2016-02-18|2016-02-18|2016-02-18|3019526581000420|570|Z1AA|Z1|CPU|3019526581000420|3657001588000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5507|4055RUPLUS|4000090683|2016-02-19|2016-02-19|2016-02-19|3019526581000560|570|Z1AA|Z1|CPU|3019526581000560|3657001597000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5507|4055RUPLUS|4000090683|2016-02-19|2016-02-19|2016-02-19|3019526581000710|570|Z1AA|Z1|CPU|3019526581000710|3657001602000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5509|4055RUPLUS|4000090683|2016-02-22|2016-02-22|2016-02-22|3019568113000360|570|Z1AA|Z1|CPU|3019568113000360|3657054219000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5512|4055RUPLUS|4000090683|2016-02-25|2016-02-25|2016-02-25|3019568113000130|570|Z1AA|Z1|CPU|3019568113000130|3657054254000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5512|4055RUPLUS|4000090683|2016-02-25|2016-02-25|2016-02-25|3019568113000510|570|Z1AA|Z1|CPU|3019568113000510|3657054258000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5513|4055RUPLUS|4000090683|2016-02-26|2016-02-26|2016-02-26|3019568113000580|570|Z1AA|Z1|CPU|3019568113000580|3657054263000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5513|4055RUPLUS|4000090683|2016-02-26|2016-02-26|2016-02-26|3019568113000650|570|Z1AA|Z1|CPU|3019568113000650|3657054267000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
0|0|4055RUPLUS|4000090683|2016-02-27|2016-02-27|2016-02-27|3019568113000550|570|Z1AA|Z1|CPU|3019568113000550|3657054272000010|4000090683|USZX|570|4055RUPLUS||A|0|0
0|0|4055RUPLUS|4000090683|2016-02-27|2016-02-27|2016-02-27|3019568113000630|570|Z1AA|Z1|CPU|3019568113000630|3657054281000010|4000090683|USZX|570|4055RUPLUS||A|0|0
2|5541|4055RUPLUS|4000090907|2016-02-19|2016-02-19|2016-02-19|3019527404000030|570|Z1AA|Z2|ISS|3019527404000030|3657062499000010|4000090907|USNY|570|4055RUPLUS|USNY|A|0|0
2|5715|4055RUPLUS|4000092332|2016-02-19|2016-02-18|2016-02-19|3019515324000010|570|Z1AA|Z2|ISS|3019515324000010|3657051163000010|4000092332|USXG|570|4055RUPLUS|USXG|A|0|0
2|5771|4055RUPLUS|4000092860|2016-02-18|2016-02-18|2016-02-18|3019172982000020|570|Z1AA|Z2|ISS|3019172982000020|3657056656000010|4000092860|USM6|570|4055RUPLUS|USM6|A|0|0
2|55556|4055RUPLUS|6101073046|2016-02-26|2016-02-26|2016-02-26|3019569770000330|570|Z1AA|Z1|CPU|3019569770000330|3657059398000010|6101073046|USA7|570|4055RUPLUS|USA7|A|0|0
2|55557|4055RUPLUS|6101073144|2016-02-18|2016-02-18|2016-02-18|3019514389000010|570|Z1AA|Z2|ISS|3019514389000010|3657056967000010|6101073144|US8Z|570|4055RUPLUS|US8Z|A|0|0
2|55577|4055RUPLUS|6101073625|2016-02-17|2016-02-17|2016-02-17|3019527670000080|570|Z1AA|Z2|ISS|3019527670000080|3657046939000010|6101073625|US8R|570|4055RUPLUS|US8R|A|0|0
2|52701|4055RUPLUS|6100762507|2016-02-19|2016-02-19|2016-02-19|3019541350000005|570|Z1AA|Z1|CPU|3019541350000005|3657020661000010|6100762507|USQM|570|4055RUPLUS|USQM|A|0|0
2|52710|4055RUPLUS|6100762614|2016-02-17|2016-02-17|2016-02-17|3019489962000001|570|Z1AA|Z1|CPU|3019489962000001|3656955291000010|6100762614|USA8|570|4055RUPLUS|USA8|A|0|0
0|0|4055RUPLUS|6100762614|2016-03-02|2016-03-02|2016-03-02|3019550291000001|570|Z1AA|Z1|CPU|3019550291000001|3657032536000010|6100762614|USA8|570|4055RUPLUS||A|0|0
2|52722|4055RUPLUS|6100762641|2016-02-23|2016-02-23|2016-02-23|3019568724000040|496|Z1AA|Z1|CPU|3019568724000040|3657058801000010|6100762641|UT1K|496|4055RUPLUS|UT1K|A|0|0
2|52729|4055RUPLUS|6100762810|2016-02-18|2016-02-18|2016-02-18|3019539979000001|570|Z1AA|Z1|CPU|3019539979000001|3657018142000010|6100762810|USXW|570|4055RUPLUS|USXW|A|0|0
2|52782|4055RUPLUS|6100767897|2016-02-19|2016-02-19|2016-02-19|3019439601000010|570|Z1AA|Z2|ISS|3019439601000010|3657062930000010|6100767897|USMX|570|4055RUPLUS|USMX|A|0|0
2|52808|4055RUPLUS|6100771739|2016-02-19|2016-02-19|2016-02-19|3019528231000090|570|Z1AA|Z2|ISS|3019528231000090|3657020943000010|6100771739|UT76|570|4055RUPLUS|UT76|A|0|0
2|52809|4055RUPLUS|6100771739|2016-02-20|2016-02-20|2016-02-20|3019528231000110|570|Z1AA|Z2|ISS|3019528231000110|3657020945000010|6100771739|UT76|570|4055RUPLUS|UT76|A|0|0
2|52922|4055RUPLUS|6100776921|2016-02-18|2016-02-18|2016-02-18|3019541567000008|570|Z1AA|Z2|ISS|3019541567000008|3657031122000010|6100776921|USB5|570|4055RUPLUS|USB5|A|0|0
2|52959|4055RUPLUS|6100779081|2016-02-17|2016-02-17|2016-02-17|3019527082000070|570|Z1AA|Z2|ISS|3019527082000070|3657029212000010|6100779081|UST1|570|4055RUPLUS|UST1|A|0|0
2|52960|4055RUPLUS|6100779081|2016-02-18|2016-02-18|2016-02-18|3019527082000100|570|Z1AA|Z2|ISS|3019527082000100|3657029216000010|6100779081|UST1|570|4055RUPLUS|UST1|A|0|0
2|52963|4055RUPLUS|6100779081|2016-02-21|2016-02-21|2016-02-21|3019527082000160|570|Z1AA|Z2|ISS|3019527082000160|3657029221000010|6100779081|UST1|570|4055RUPLUS|UST1|A|0|0
2|52983|4055RUPLUS|6100779161|2016-02-17|2016-02-17|2016-02-17|3019527576000020|570|Z1AA|Z2|ISS|3019527576000020|3657047062000010|6100779161|USE1|570|4055RUPLUS|USE1|A|0|0
2|53024|4055RUPLUS|6100787820|2016-02-17|2016-02-17|2016-02-17|3019528214000030|570|Z1AA|Z2|ISS|3019528214000030|3657036069000010|6100787820|USE2|570|4055RUPLUS|USE2|A|0|0
2|53024|4055RUPLUS|6100787820|2016-02-17|2016-02-17|2016-02-17|3019528214000150|570|Z1AA|Z2|ISS|3019528214000150|3657036080000010|6100787820|USE2|570|4055RUPLUS|USE2|A|0|0
