STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|67355|4055RUPLUS|6101069738|2016-02-15|2016-02-15|2016-02-15|3019527529000730|570|Z1AA|Z1|CPU|3019527529000730|3657005410000010|6101069738|UT76|570|4055RUPLUS|UT76|A|0
2|58642|4055RUPLUS|6100256564|2016-02-21|2016-02-21|2016-02-21|3019526012000640|570|Z1AA|Z2|ISS|3019526012000640|3657019433000010|6100256564|UT1K|570|4055RUPLUS|UT1K|A|0
2|58787|4055RUPLUS|6100265322|2016-02-16|2016-02-16|2016-02-16|3019485395000090|570|Z1AA|Z1|CPU|3019485395000090|3656952500000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58788|4055RUPLUS|6100265322|2016-02-17|2016-02-17|2016-02-17|3019527928000110|570|Z1AA|Z1|CPU|3019527928000110|3657005710000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58788|4055RUPLUS|6100265322|2016-02-17|2016-02-17|2016-02-17|3019527928000120|570|Z1AA|Z1|CPU|3019527928000120|3657005715000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58788|4055RUPLUS|6100265322|2016-02-17|2016-02-17|2016-02-17|3019527928000140|570|Z1AA|Z1|CPU|3019527928000140|3657005726000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58789|4055RUPLUS|6100265322|2016-02-18|2016-02-18|2016-02-18|3019527928000180|570|Z1AA|Z1|CPU|3019527928000180|3657005744000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58789|4055RUPLUS|6100265322|2016-02-18|2016-02-18|2016-02-18|3019527928000190|570|Z1AA|Z1|CPU|3019527928000190|3657005750000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|58790|4055RUPLUS|6100265322|2016-02-19|2016-02-19|2016-02-19|3019527928000210|570|Z1AA|Z1|CPU|3019527928000210|3657005759000010|6100265322|USKZ|570|4055RUPLUS|USKZ|A|0
2|60376|4055RUPLUS|6100373713|2016-02-27|2016-02-27|2016-02-27|3019473180000028|570|Z1AA|Z2|ISS|3019473180000028|3656964876000010|6100373713|USKZ|570|4055RUPLUS|USKZ|A|0
2|60360|4055RUPLUS|6100373713|2016-02-15|2016-02-15|2016-02-15|3019528092000170|570|Z1AA|Z2|ISS|3019528092000170|3657024077000010|6100373713|USKZ|570|4055RUPLUS|USKZ|A|0
2|60363|4055RUPLUS|6100373713|2016-02-17|2016-02-17|2016-02-17|3019528092000230|570|Z1AA|Z2|ISS|3019528092000230|3657031631000010|6100373713|USKZ|570|4055RUPLUS|USKZ|A|0
2|60363|4055RUPLUS|6100373713|2016-02-17|2016-02-17|2016-02-17|3019528092000240|570|Z1AA|Z2|ISS|3019528092000240|3657031632000010|6100373713|USKZ|570|4055RUPLUS|USKZ|A|0
2|60362|4055RUPLUS|6100373713|2016-02-16|2016-02-16|2016-02-16|3019528092000060|570|Z1AA|Z2|ISS|3019528092000060|3657031659000010|6100373713|UT1F|570|4055RUPLUS|UT1F|A|0
