STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
0|3019613447000010||4055RUCUST|US9X|ORLANDO|FL|4000139600|ONTARIO|CA|32819|91761|328|917|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z1|32819|91761|100|||100
0|3019538346000020||4055RUCUST|US9X|ORLANDO|FL|4000153473|DECATUR|IN|32819|46733|328|467|2016-02-26||2016-02-26||540| |2016-02-24|540|Z1AA|Z2|32819|46733|100|||100
0|3019533654000010||4055RUCUST|US9X|ORLANDO|FL|4000157206|CLEVELAND|TN|32819|37311|328|373|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|37311|100|||100
0|3019533640000010||4055RUCUST|US9X|ORLANDO|FL|4000157206|CLEVELAND|TN|32819|37311|328|373|2016-02-25||2016-02-25||570| |2016-02-24|570|Z1AA|Z2|32819|37311|100|||100
10|3019590760000002|3657084938000010|4055RUCUST|USG8|HAMILTON|OH|4000164069|SIDNEY|OH|45011|45365|450|453|2016-02-22|2016-02-22|2016-02-22|2016-02-22|570| |2016-02-24|570|Z1AA|Z2|45011|45365|100|||100
2|3019590783000001|3657085305000010|4055RUCUST|USYZ|COLUMBUS|OH|4000164069|SIDNEY|OH|43228|45365|432|453|2016-02-23|2016-02-23|2016-02-23|2016-02-23|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|43228|45365|78|||382
2|3019590783000002|3657085306000010|4055RUCUST|USYZ|COLUMBUS|OH|4000164069|SIDNEY|OH|43228|45365|432|453|2016-02-23|2016-02-23|2016-02-23|2016-02-23|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|43228|45365|78|||382
2|3019590867000001|3657085310000010|4055RUCUST|USG8|HAMILTON|OH|4000164069|SIDNEY|OH|45011|45365|450|453|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|45011|45365|79|||318
2|3019590908000002|3657085339000010|4055RUCUST|USG8|HAMILTON|OH|4000164069|SIDNEY|OH|45011|45365|450|453|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|45011|45365|79|||318
0|3019590908000001|3657085336000010|4055RUCUST|USG8|HAMILTON|OH|4000164069|SIDNEY|OH|45011|45365|450|453|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570| |2016-02-24|570|Z1AA|Z2|45011|45365|100|||100
0|3019590943000003||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590933000003||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590943000002||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
