STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
2|3019652128000010|3657160933000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652158000010|3657160942000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652145000010|3657160940000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652146000010|3657160941000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652144000010|3657160938000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652195000010|3657160947000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-12|2016-03-12|2016-03-12|2016-03-12|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652194000010|3657160944000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-12|2016-03-12|2016-03-12|2016-03-12|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
4|3019645297000010||4055RUPLUS|UT84|CHARLOTTE|NC|4000264833|GASTONIA|NC|28273|28054|282|280|2016-03-03|2016-03-03|2016-03-03|2016-03-03|500|ISS2MAXDISTSRC-3ZIP|2016-03-01|500|Z1AA|Z2|28273|28054|100|ISS2MAXDISTSRC-3ZIP_UT84->4000264833-202|10|100|0|1
0|3019645711000010|3657154141000010|4055RUPLUS|UT3L|NEW CASTLE|DE|4000264885|HARRISBURG|PA|19720|17104|197|171|2016-03-01|2016-03-01|2016-03-01|2016-02-29|570|UNMET|2016-03-01|570|Z1AA|Z2|19720|17104|100|||100|0|0
1|3019652447000010||4055RUPLUS|UT02|COLUMBUS|OH|4000264906|NEWCOMERSTOWN|OH|43228|43832|432|438|2016-03-03|2016-03-03|2016-03-03|2016-03-03|540|ISS2MAXDISTSRC-3ZIP|2016-03-01|540|Z1AA|Z2|43228|43832|115|ISS2MAXDISTSRC-3ZIP_UT02->4000264906-202|1.496|718|0|1
1|3019610285000010||4055RUPLUS|UT45|TOLLESON|AZ|4000264929|YUMA|AZ|85353|85365|853|853|2016-03-03|2016-03-03|2016-03-03|2016-03-03|430|ISS2MAXDISTSRC-5ZIP|2016-03-01|430|Z1AA|Z2|85353|85365|173|ISS2MAXDISTSRC-5ZIP_UT45->4000264929-202|0.0988|474|1|1
2|3019636565000010|3657158000000010|4055RUPLUS|USXG|AURORA|CO|4000265168|DENVER|CO|80011|80204|800|802|2016-03-02|2016-03-02|2016-03-02|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|80011|80204|13|||420|1|0
1|3019652237000010||4055RUPLUS|UT02|COLUMBUS|OH|4000265459|GROVEPORT|OH|43228|43125|432|431|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|43228|43125|21|ISS2MAXDISTSRC-5ZIP_UT02->4000265459-202|0.708|340|0|1
