STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1
1|3019613666000050||4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|70401|39666|58|ISS2MAXDISTSRC-5ZIP_USQM->4000069948-202|0.0883|424|1
1|3019613666000040||4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-03-03||2016-03-03||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|70401|39666|58|ISS2MAXDISTSRC-5ZIP_USQM->4000069948-202|0.0883|424|1
0|3019613666000010||4055RUPLUS|US9X|ORLANDO|FL|4000069948|SUMMIT|MS|32819|39666|328|396|2016-02-29||2016-02-29||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|39666|100|||100|0
2|3019568055000020|3657101656000010|4055RUPLUS|USZA|JACKSONVILLE|FL|4000070133|JACKSONVILLE|FL|32226|32209|322|322|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|32226|32209|18|||325|1
1|3019568055000030||4055RUPLUS|USMN|DEERFIELD BEACH|FL|4000070133|JACKSONVILLE|FL|33442|32209|334|322|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|33442|32209|315|ISS2MAXDISTSRC-5ZIP_USMN->4000070133-202|0.781|375|0
1|3019568055000040||4055RUPLUS|USMN|DEERFIELD BEACH|FL|4000070133|JACKSONVILLE|FL|33442|32209|334|322|2016-02-27||2016-02-27||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|33442|32209|315|ISS2MAXDISTSRC-5ZIP_USMN->4000070133-202|0.781|375|0
1|3019612683000040||4055RUPLUS|USMN|DEERFIELD BEACH|FL|4000070133|JACKSONVILLE|FL|33442|32209|334|322|2016-03-05||2016-03-05||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|33442|32209|315|ISS2MAXDISTSRC-5ZIP_USMN->4000070133-202|0.781|375|0
1|3019612683000010||4055RUPLUS|USZM|JACKSONVILLE|FL|4000070133|JACKSONVILLE|FL|32220|32209|322|322|2016-02-29||2016-02-29||570|ISS2MAXDISTSRC-3ZIP|2016-02-24|570|Z1AA|Z2|32220|32209|12|ISS2MAXDISTSRC-3ZIP_USZM->4000070133-202|1|480|0
1|3019612683000020||4055RUPLUS|UT29|LAKELAND|FL|4000070133|JACKSONVILLE|FL|33815|32209|338|322|2016-03-02||2016-03-02||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|33815|32209|199|ISS2MAXDISTSRC-5ZIP_UT29->4000070133-202|0.719|345|0
1|3019612683000030||4055RUPLUS|UT29|LAKELAND|FL|4000070133|JACKSONVILLE|FL|33815|32209|338|322|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|33815|32209|199|ISS2MAXDISTSRC-5ZIP_UT29->4000070133-202|0.719|345|0
2|3019569712000020|3657084520000010|4055RUPLUS|US8X|SOUTH RIVER|NJ|4000071768|DAYTON|NJ|08882|08810|088|088|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|08882|08810|15|||361|1
1|3019614490000010||4055RUPLUS|US8X|SOUTH RIVER|NJ|4000071768|DAYTON|NJ|08882|08810|088|088|2016-03-01||2016-03-01||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08882|08810|15|ISS2MAXDISTSRC-5ZIP_US8X->4000071768-202|0.0752|361|1
1|3019614490000020||4055RUPLUS|US8X|SOUTH RIVER|NJ|4000071768|DAYTON|NJ|08882|08810|088|088|2016-03-03||2016-03-03||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08882|08810|15|ISS2MAXDISTSRC-5ZIP_US8X->4000071768-202|0.0752|361|1
