A1|B1|PS_RES|PRODRATE|YIELD_QTY|ITEM|OUTPUTITEM|PRODMETH|LOC|LOC_TYPE|DESCR|STATE|MAXCAP|NUMBER_PERIODS|HOURS_AVAIL_TOTAL|HOURS_USED_TOTAL|MIN_HOURS_USED|MAX_HOURS_USED|AVG_HOURS|SIGMA_HOURS|AVG_PERCENT_UTIL|PERCENT_TOTAL_USED|HRS_DY1|HRS_DY2|HRS_DY3|HRS_DY4|HRS_DY5|HRS_DY6|HRS_DY7|HRS_DY8|HRS_DY9|HRS_DY10|HRS_DY11|HRS_DY12|HRS_DY13|HRS_DY14|MIN_QTY_PRODUCED|MAX_QTY_PRODUCED|AVG_QTY_PRODUCED|SIGMA_QTY_PRODUCED|QTYMADE_DY1|QTYMADE_DY2|QTYMADE_DY3|QTYMADE_DY4|QTYMADE_DY5|QTYMADE_DY6|QTYMADE_DY7|QTYMADE_DY8|QTYMADE_DY9|QTYMADE_DY10|QTYMADE_DY11|QTYMADE_DY12|QTYMADE_DY13|QTYMADE_DY14|AVG_PERCENT_CAPACITY_USED|STDEV_PERCENT_CAPACITY_USED|PERCENT_CAPACITY_USED|PERCENTUTIL_DY1|PERCENTUTIL_DY2|PERCENTUTIL_DY3|PERCENTUTIL_DY4|PERCENTUTIL_DY5|PERCENTUTIL_DY6|PERCENTUTIL_DY7|PERCENTUTIL_DY8|PERCENTUTIL_DY9|PERCENTUTIL_DY10|PERCENTUTIL_DY11|PERCENTUTIL_DY12|PERCENTUTIL_DY13|PERCENTUTIL_DY14|RANK
INS_4055AR@USWA|INS_4055RUPLUS@USWA|INSCAP@USWA|344|0.308|4055AR|4055RUPLUS|INS|USWA|4|CHEP/Costco - Monrovia|MD|27540|14|160|85|0|16|6.05|5.35|52.91|52.91|8.84|8.84|8.84|0|0|16|13.97|7.04|7.04|7.04|0|0|7.04|0|0|1695.23|640.67|566.75|936.44|936.44|936.44|0|0|1695.23|1479.88|746.22|746.22|746.22|0|0|746.22|0|84.65|0|52.91|55.24|55.24|55.24|||100|87.3|44.02|44.02|44.02|||44.02|0|1
INS_4055AR@USWC|INS_4055AR@USWC|INSCAP@USWC|348|0.225|4055AR|4055AR|INS|USWC|4|CHEP(P) - Fontana 2|CA|27837|14|160|19|0|5.17|1.36|1.39|11.9|11.9|1.87|1.87|1.87|0|0|5.17|1.65|1.65|1.65|1.65|0|0|1.65|0|0|405.07|106.49|108.57|146.32|146.32|146.32|0|0|405.07|129.38|129.38|129.38|129.38|0|0|129.38|0|19.04|0|11.9|11.68|11.68|11.68|||32.33|10.33|10.33|10.33|10.33|||10.33|0|1
INS_4055AR@USWC|INS_4055RUPLUS@USWC|INSCAP@USWC|348|0.775|4055AR|4055RUPLUS|INS|USWC|4|CHEP(P) - Fontana 2|CA|27837|14|160|19|0|5.17|1.36|1.39|11.9|11.9|1.87|1.87|1.87|0|0|5.17|1.65|1.65|1.65|1.65|0|0|1.65|0|0|1395.23|366.81|373.95|503.98|503.98|503.98|0|0|1395.23|445.63|445.63|445.63|445.63|0|0|445.63|0|19.04|0|11.9|11.68|11.68|11.68|||32.33|10.33|10.33|10.33|10.33|||10.33|0|1
INS_4055AR@USWD|INS_4055AR@USWD|INSCAP@USWD|375|0.41|4055AR|4055AR|INS|USWD|4|CHEP(P) - Rome|NY|30000|14|160|24|0|6.66|1.74|1.91|15.2|15.2|2.04|0.25|3.82|0|0|6.66|2.31|2.31|2.31|2.31|0|0|2.31|0|0|1023.85|267.14|294.16|312.99|39.01|586.98|0|0|1023.85|355.43|355.43|355.43|355.43|0|0|355.43|0|24.33|0|15.2|12.72|1.59|23.86|||41.62|14.45|14.45|14.45|14.45|||14.45|0|1
INS_4055AR@USWD|INS_4055RUPLUS@USWD|INSCAP@USWD|375|0.59|4055AR|4055RUPLUS|INS|USWD|4|CHEP(P) - Rome|NY|30000|14|160|24|0|6.66|1.74|1.91|15.2|15.2|2.04|0.25|3.82|0|0|6.66|2.31|2.31|2.31|2.31|0|0|2.31|0|0|1473.35|384.42|423.3|450.41|56.13|844.68|0|0|1473.35|511.47|511.47|511.47|511.47|0|0|511.47|0|24.33|0|15.2|12.72|1.59|23.86|||41.62|14.45|14.45|14.45|14.45|||14.45|0|1
REP_4055RUPLUS@USWD|REP_4055RUPLUS@USWD|REPCAP@USWD|11|1|4055RUPLUS|4055RUPLUS|REP|USWD|4|CHEP(P) - Rome|NY|905|14|160|160|0|16|11.43|7.5|100|100|16|16|16|0|0|16|16|16|16|16|0|0|16|16|0|176|125.71|82.51|176|176|176|0|0|176|176|176|176|176|0|0|176|176|160|0|100|100|100|100|||100|100|100|100|100|||100|100|1
INS_4055AR@USWH|INS_4055AR@USWH|INSCAP@USWH|429|0.588|4055AR|4055AR|INS|USWH|4|Costco - Mira Loma|CA|34288|14|160|61|0|16|4.38|4.34|38.34|38.34|5.39|5.39|5.39|0|0|16|6.44|5.68|5.68|5.68|0|0|5.68|0|0|4036.03|1105.18|1095.13|1359.93|1359.93|1359.93|0|0|4036.03|1623.64|1433.25|1433.25|1433.25|0|0|1433.25|0|61.34|0|38.34|33.69|33.69|33.69|||100|40.23|35.51|35.51|35.51|||35.51|0|1
INS_4055AR@USWH|INS_4055RUPLUS@USWH|INSCAP@USWH|429|0.412|4055AR|4055RUPLUS|INS|USWH|4|Costco - Mira Loma|CA|34288|14|160|61|0|16|4.38|4.34|38.34|38.34|5.39|5.39|5.39|0|0|16|6.44|5.68|5.68|5.68|0|0|5.68|0|0|2827.97|774.37|767.34|952.87|952.87|952.87|0|0|2827.97|1137.66|1004.25|1004.25|1004.25|0|0|1004.25|0|61.34|0|38.34|33.69|33.69|33.69|||100|40.23|35.51|35.51|35.51|||35.51|0|1
INS_4055AR@USWL|INS_4055AR@USWL|INSCAP@USWL|361|0.01|4055AR|4055AR|INS|USWL|2|Crate Services - Southaven|MS|28884|14|160|23|0|13.71|1.62|4.21|14.13|14.13|8.9|0|0|0|0|0|0|0|13.71|0|0|0|0|0|0|49.5|5.83|15.21|32.13|0|0|0|0|0|0|0|49.5|0|0|0|0|0|22.61|0|14.13|55.63|0|0|||0|0|0|85.7|0|||0|0|1
INS_4055AR@USWL|INS_4055RUPLUS@USWL|INSCAP@USWL|361|0.99|4055AR|4055RUPLUS|INS|USWL|2|Crate Services - Southaven|MS|28884|14|160|23|0|13.71|1.62|4.21|14.13|14.13|8.9|0|0|0|0|0|0|0|13.71|0|0|0|0|0|0|4900.5|577.24|1505.58|3180.87|0|0|0|0|0|0|0|4900.5|0|0|0|0|0|22.61|0|14.13|55.63|0|0|||0|0|0|85.7|0|||0|0|1
