STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW|SM417_RECNUM|SM417_EFF|SOURCING|MINLEADTIME|DUR
2|124967|4055RUPLUS|4000092332|2016-02-26|2016-02-24|2016-02-26|3019574469000010|570|Z1AA|Z2|ISS|3019574469000010|3657106320000010|4000092332|USG5|570|4055RUPLUS|USG5|A|0|0|125179|24-FEB-16|ISS9DEL|2880|1440
5|62662|4001AI|4000092342|2016-02-24|2016-02-24|2016-02-24|3129252225000001|93|Z1BA|Z2|COL|3129252225000001|3750372893000010|USQ4|4000092342|93|4001AI|USQ4|A|0|0|62753|24-FEB-16|COL9DEL|0|1440
2|126659|4055RUPLUS|4000108748|2016-02-23|2016-02-23|2016-02-23|3019584704000010|570|Z1AA|Z2|ISS|3019584704000010|3657096334000010|4000108748|USIL|570|4055RUPLUS|USIL|A|0|0|126873|23-FEB-16|ISS9DEL|0|1440
2|126719|4055RUPLUS|4000109092|2016-02-24|2016-02-24|2016-02-24|3019569170000020|570|Z1AA|Z2|ISS|3019569170000020|3657073894000010|4000109092|USQ4|570|4055RUPLUS|USQ4|A|0|0|126933|24-FEB-16|ISS9DEL|0|1440
2|126720|4055RUPLUS|4000109092|2016-02-26|2016-02-26|2016-02-26|3019569170000030|570|Z1AA|Z2|ISS|3019569170000030|3657073895000010|4000109092|USQ4|570|4055RUPLUS|USQ4|A|0|0|126934|26-FEB-16|ISS9DEL|0|1440
5|83433|4001AI|4000110277|2016-02-23|2016-02-23|2016-02-23|3129203517000080|450|Z1BA|Z2|COL|3129203517000080|3750313992000010|UT13|4000110277|450|4001AI|UT13|A|0|0|83556|23-FEB-16|COL9DEL|0|1440
0|0|4055RUPLUS|4000111105|2016-02-23|2016-02-23|2016-02-23|3019570195000001|570|Z1AA|Z2|ISS|3019570195000001|3657094414000010|4000111105|USO3|570|4055RUPLUS||A|0|0|0||UNMET|0|0
2|177019|4055RUPLUS|6100485095|2016-02-24|2016-02-24|2016-02-24|3019567709000320|570|Z1AA|Z2|ISS|3019567709000320|3657101946000010|6100485095|USNT|570|4055RUPLUS|USNT|A|0|0|177290|24-FEB-16|ISS9DEL|0|1440
2|177029|4055RUPLUS|6100485102|2016-02-25|2016-02-25|2016-02-25|3019568307000230|570|Z1AA|Z2|ISS|3019568307000230|3657071763000010|6100485102|USNE|570|4055RUPLUS|USNE|A|0|0|177300|25-FEB-16|ISS9DEL|0|1440
0|0|4055RUPLUS|6100485102|2016-02-27|2016-02-27|2016-02-27|3019568307000270|570|Z1AA|Z2|ISS|3019568307000270|3657071765000010|6100485102|USNE|570|4055RUPLUS||A|0|0|0||UNMET|0|0
